,d18Op,lat,lon
38,-20.011075973510742,67.27083333333333,-119.99583333333334
39,-20.13363265991211,67.27083333333333,-117.50416666666666
40,-20.13917350769043,67.27083333333333,-115.0125
41,-20.128116607666016,67.27083333333333,-112.5125
42,-20.11517906188965,67.27083333333333,-110.0125
43,-19.451759338378906,67.27083333333333,-107.5125
44,-19.793537139892578,67.27083333333333,-105.00416666666666
45,-19.921892166137695,67.27083333333333,-102.5125
46,-20.211467742919922,67.27083333333333,-100.0125
47,-20.12687873840332,67.27083333333333,-97.5125
48,-19.835084915161133,67.27083333333333,-95.0125
49,-20.299684524536133,67.27083333333333,-92.5125
50,-19.666757583618164,67.27083333333333,-90.0125
51,-20.259492874145508,69.1625,-119.99583333333334
52,-19.724048614501953,68.97916666666667,-117.5875
53,-19.963714599609375,69.25416666666666,-115.00416666666666
54,-20.40411949157715,69.1625,-112.5125
55,-20.6202449798584,69.1625,-110.0125
56,-20.582897186279297,69.1625,-107.5125
57,-20.257835388183594,69.1625,-105.00416666666666
58,-20.541515350341797,69.1625,-102.5125
59,-20.650423049926758,69.12083333333334,-99.97916666666667
60,-20.49663543701172,69.1625,-97.5125
61,-20.352441787719727,68.97083333333333,-94.57916666666667
62,-20.996675491333008,69.1625,-92.5125
63,-20.89147186279297,69.1625,-90.02083333333333
64,-20.2154483795166,71.0625,-117.50416666666666
65,-21.09072494506836,71.0625,-115.0125
66,-21.505590438842773,71.0625,-112.5125
67,-21.479660034179688,71.0625,-110.0125
68,-20.856367111206055,71.0625,-107.5125
69,-20.58765411376953,71.0625,-105.00416666666666
70,-20.708452224731445,70.67916666666667,-102.9875
71,-20.7119197845459,71.37083333333334,-99.22916666666667
72,-20.442262649536133,71.12083333333334,-96.5125
73,-21.24480438232422,71.0625,-95.0125
74,-17.48203468322754,71.05416666666667,-92.84583333333333
75,-20.44890022277832,72.95416666666667,-119.99583333333334
76,-20.398056030273438,72.9125,-117.34583333333333
77,-21.1925106048584,72.95416666666667,-115.0125
78,-21.26044273376465,72.95416666666667,-112.5125
79,-21.010847091674805,72.95416666666667,-110.0125
80,-20.934045791625977,72.95416666666667,-107.5125
81,-20.719715118408203,72.94583333333333,-105.12916666666666
82,-20.88478660583496,72.95416666666667,-102.5125
83,-20.616729736328125,72.95416666666667,-100.0125
84,-20.787025451660156,72.95416666666667,-97.5125
85,-20.881153106689453,72.95416666666667,-95.0125
86,-21.655738830566406,72.95416666666667,-92.5125
87,-20.702770233154297,75.17083333333333,-117.22083333333333
88,-20.93815803527832,74.97083333333333,-115.00416666666666
89,-21.639488220214844,74.85416666666667,-112.5125
90,-21.40611457824707,74.85416666666667,-110.0125
91,-21.04703140258789,74.92083333333333,-107.25416666666666
92,-21.35660171508789,75.05416666666667,-104.57083333333333
93,-21.8607177734375,74.97916666666667,-99.89583333333333
94,-16.741195678710938,75.0125,-97.60416666666667
95,-22.023012161254883,74.85416666666667,-95.0125
96,-21.8603515625,74.8375,-92.07083333333333
97,-22.61225700378418,74.85416666666667,-90.0125
98,-21.40997314453125,76.74583333333334,-119.99583333333334
99,-21.068269729614258,76.74583333333334,-117.50416666666666
100,-21.23440933227539,76.77083333333333,-114.8125
101,-16.528656005859375,76.79583333333333,-113.45416666666667
102,-21.88700294494629,76.69583333333333,-109.50416666666666
103,-16.610754013061523,76.7375,-108.40416666666667
104,-22.12587547302246,76.6375,-104.5125
105,-22.69575309753418,76.6125,-101.7625
106,-22.75253677368164,76.74583333333334,-100.0125
107,-22.66071891784668,76.79583333333333,-97.07916666666667
108,-23.277374267578125,76.74583333333334,-95.0125
109,-22.520397186279297,76.6125,-92.50416666666666
110,-23.101709365844727,76.74583333333334,-90.0125
111,-22.462825775146484,78.60416666666667,-112.1625
112,-22.829439163208008,78.6375,-110.0125
113,-22.769153594970703,78.57916666666667,-104.80416666666667
114,-23.165666580200195,78.6375,-102.5125
115,-22.948089599609375,78.62916666666666,-100.0125
116,-23.35517692565918,78.6375,-97.5125
117,-22.72579574584961,78.5125,-95.52083333333333
118,-22.351320266723633,78.6375,-92.5125
119,-22.667551040649414,78.6375,-90.0125
120,-17.365819931030273,80.35416666666667,-96.60416666666667
121,-23.434654235839844,80.5375,-95.0125
122,-23.81110382080078,80.5375,-92.5125
123,-17.29621124267578,80.52916666666667,-90.0125
0,-3.7498481273651123,31.270833333333332,-115.0125
1,-5.4525604248046875,31.270833333333332,-112.5125
2,-9.763263702392578,31.270833333333332,-110.0125
3,-7.706376552581787,31.270833333333332,-107.5125
4,-8.508959770202637,31.270833333333332,-105.0125
